지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
330,대흘,2020-01-01,3.4,.6,1,5,2312,0,6.6,304,3.1,334.7
330,대흘,2020-01-02,6.3,3.8,257,7.9,1520,0,5.3,2230,2.2,312.2
330,대흘,2020-01-03,7,3.9,2352,9.9,1211,0,8.9,1438,3.3,312.2
330,대흘,2020-01-04,6.2,3.2,447,9.6,1333,0,8.3,1510,3.1,320.6
330,대흘,2020-01-05,7.3,1.8,705,10.3,1343,0,4.8,1241,1.9,36.6
330,대흘,2020-01-06,13.9,9.3,33,18.2,2204,0,10.4,1413,3,194.1
330,대흘,2020-01-07,17.7,11.5,2317,22.4,1233,12,17,2324,5.6,253.1
330,대흘,2020-01-08,6.4,5.2,2308,11.6,1,3,18.1,856,8.6,286.9
330,대흘,2020-01-09,5.5,4.7,2329,6.4,1259,0,8.1,244,4.1,281.3
330,대흘,2020-01-10,6.2,2.3,715,10.6,1418,0,5.5,226,1.8,320.6
330,대흘,2020-01-11,6.2,4.9,850,7.7,1100,0,8,2345,3.2,329.1
330,대흘,2020-01-12,5.7,5.2,258,6.7,1518,0,12.9,1347,5.9,306.6
330,대흘,2020-01-13,5.3,4,2331,6.9,1134,0,9.2,7,4.1,298.1
330,대흘,2020-01-14,2.6,1.3,1804,4,1,6,5.9,1237,1.7,19.7
330,대흘,2020-01-15,3.7,2.3,2345,5.2,1327,0,7.4,414,3.2,5.6
330,대흘,2020-01-16,4.4,2.3,5,6.9,1335,0,4.8,431,2.1,315
330,대흘,2020-01-17,5,2.9,2300,6.9,1356,0,8.7,1357,3.8,298.1
330,대흘,2020-01-18,5.3,3.9,2251,7.4,1249,0,10.3,1400,4.6,315
330,대흘,2020-01-19,6.9,3.4,212,8.5,1521,0,9.3,1455,3.9,289.7
330,대흘,2020-01-20,6.5,5.1,2357,8.9,1212,0,10.3,1332,5.1,300.9
330,대흘,2020-01-21,5.9,1.9,807,9,1518,0,7.9,126,2.8,317.8
330,대흘,2020-01-22,11,7.8,509,12.8,2124,19,7.1,1314,1.5,168.8
330,대흘,2020-01-23,9.6,8.1,1807,12.5,115,3,6,1405,2.1,329.1
330,대흘,2020-01-24,9.6,7.2,756,11.4,1450,0,5,1430,1.6,22.5
330,대흘,2020-01-25,10.5,8.7,1838,12.8,1310,2.5,7.7,837,2.8,73.1
330,대흘,2020-01-26,9.9,8.4,601,11.7,1931,10.5,11.3,1932,3.7,109.7
330,대흘,2020-01-27,7.9,6.1,1616,9.6,146,63,15.3,912,5.1,47.8
330,대흘,2020-01-28,7.9,6.8,50,9.6,1443,1.5,5.1,1804,2,284.1
330,대흘,2020-01-29,6.8,5.2,2052,9.8,1424,4,10.2,1935,3.7,317.8
330,대흘,2020-01-30,6.3,5.7,2352,7.7,1305,.5,10.5,1622,4.8,326.3
330,대흘,2020-01-31,5.3,3.3,2357,6.3,1019,0,8.5,1258,4.3,320.6
330,대흘,2020-02-01,6.3,2.5,125,9.1,1501,0,7.5,943,3.4,317.8
330,대흘,2020-02-02,5.9,3.6,2129,8.7,1402,0,7.5,1425,3.1,312.2
330,대흘,2020-02-03,5.1,2,2357,8.5,929,0,8.6,1553,3.6,286.9
330,대흘,2020-02-04,3.5,0,736,6.6,1408,0,5.8,1232,2.6,323.4
330,대흘,2020-02-05,1.6,-.7,2335,5.5,340,0,10.8,650,5.2,326.3
330,대흘,2020-02-06,1.3,-1.7,730,4.4,1432,0,,,,
330,대흘,2020-02-07,4.8,2.4,315,7,1231,0,8.7,2331,3.1,303.8
330,대흘,2020-02-08,5,2.9,2311,6.7,1246,0,12,1532,6,317.8
330,대흘,2020-02-09,5,3,10,7.2,1351,0,10.6,1317,4.8,315
330,대흘,2020-02-10,8.6,4.5,5,12.3,1308,0,8.8,1337,3.9,334.7
330,대흘,2020-02-11,10,4.4,459,14,1211,0,7.6,2227,2.5,199.7
330,대흘,2020-02-12,12.4,9.9,2319,15.4,1156,3,10.2,428,3.4,191.3
330,대흘,2020-02-13,10.2,7.5,2224,14.2,1348,0,7.8,10,2.1,261.6
330,대흘,2020-02-14,12.4,8.2,1,17.1,957,0,5.6,1902,1.3,151.9
330,대흘,2020-02-15,15,11.1,5,18.5,1332,0,9.7,1359,3.5,146.3
330,대흘,2020-02-16,3.4,.6,2357,12.9,1,10,15.8,1301,8.1,326.3
330,대흘,2020-02-17,.7,-1.2,1840,2.3,18,.5,17,558,8.9,334.7
330,대흘,2020-02-18,3.1,-.1,137,5.7,1356,0,15.5,8,6.1,315
330,대흘,2020-02-19,5.1,.6,640,9.1,1448,0,5.3,1223,2.2,351.6
330,대흘,2020-02-20,8.4,4.8,730,12.3,1523,0,6.5,1539,2.4,50.6
330,대흘,2020-02-21,11.7,5.8,126,15.5,1237,0,9.8,1152,3,182.8
330,대흘,2020-02-22,9,5.7,2339,13.3,4,0,12.8,317,5.8,312.2
330,대흘,2020-02-23,5.6,1.2,2356,9.5,1504,0,8.7,40,3,315
330,대흘,2020-02-24,9.9,1.3,518,15.1,1424,0,5.2,1509,1.7,8.4
330,대흘,2020-02-25,15.6,10.4,2256,21.8,1040,.5,13.2,1241,4,261.6
330,대흘,2020-02-26,9.7,6.5,0,11.2,1316,.5,6.2,1851,2.4,298.1
330,대흘,2020-02-27,7.8,3.9,550,12.3,1424,0,6.8,1501,2.6,70.3
330,대흘,2020-02-28,8.8,7.3,44,10.3,1235,3.5,8.2,1300,3.3,126.6
330,대흘,2020-02-29,10.5,9.8,2,11.2,2327,15,5.6,103,2.2,92.8
330,대흘,2020-03-01,10.1,6.5,2233,11.7,1336,4.5,7.2,1915,2.4,317.8
330,대흘,2020-03-02,6.1,3.2,2226,8,1252,0,10,1210,4.6,320.6
330,대흘,2020-03-03,9.8,3.5,9,13.3,1200,0,7.3,1409,1.9,101.3
330,대흘,2020-03-04,6.3,3.3,2316,9.6,1,0,14.7,2229,5.9,337.5
330,대흘,2020-03-05,4,1.8,2325,7.1,1415,0,12.6,37,4.9,306.6
330,대흘,2020-03-06,5.6,.6,549,10.8,1405,0,4.8,1309,2,19.7
330,대흘,2020-03-07,8.6,5.4,43,9.8,1539,10.5,6.2,1745,1.6,337.5
330,대흘,2020-03-08,10.7,6,645,14.5,1416,0,7.4,1315,2.3,90
330,대흘,2020-03-09,11.9,9.9,223,13.7,1210,26.5,10.5,2058,3.3,115.3
330,대흘,2020-03-10,8.1,5.9,2336,12.2,18,35,15.8,1658,6.6,289.7
330,대흘,2020-03-11,6.4,3.1,2332,9.1,1211,0,13.5,500,6.1,315
330,대흘,2020-03-12,7.7,1.8,551,12.4,1412,0,5.6,1454,2.4,337.5
330,대흘,2020-03-13,9.5,6.3,2347,12.9,1517,0,8,1707,3,317.8
330,대흘,2020-03-14,6.2,3.7,623,8.4,1513,0,12.5,1247,5.6,292.5
330,대흘,2020-03-15,9.2,5,2356,13.2,1152,0,17.7,1301,7.7,298.1
330,대흘,2020-03-16,5.4,2.5,516,8.8,1453,0,14.9,21,3.9,320.6
330,대흘,2020-03-17,11,3.2,354,18.9,1608,0,8.9,1414,2.6,309.4
330,대흘,2020-03-18,12.5,7,28,17.3,1439,0,6.4,222,1.8,264.4
330,대흘,2020-03-19,11.9,7.9,1926,21.2,954,0,14.5,1013,5.4,250.3
330,대흘,2020-03-20,9.7,5.4,650,14.2,1246,0,12.4,100,3.1,315
330,대흘,2020-03-21,15.8,5,43,22.6,1251,0,5.2,1333,2,28.1
330,대흘,2020-03-22,13.2,9,2245,18.1,939,0,7.8,2350,2.7,292.5
330,대흘,2020-03-23,11,7.2,413,16.1,1119,0,8.7,1451,3.9,329.1
330,대흘,2020-03-24,11.1,6.7,637,16,1356,0,7.6,1423,3,36.6
330,대흘,2020-03-25,14.5,9,153,19.1,1407,0,10.2,1247,4.1,163.1
330,대흘,2020-03-26,16.8,13.2,529,21.2,1521,11.5,9.7,1151,2.8,132.2
330,대흘,2020-03-27,10.4,6.2,2319,18,516,1.5,10.4,1626,4.2,309.4
330,대흘,2020-03-28,7,5.1,1255,8.2,908,4.5,7.3,251,2.8,306.6
330,대흘,2020-03-29,9.8,5.1,406,14,1232,0,8.4,1303,2.4,45
330,대흘,2020-03-30,11.4,9.1,2301,14.7,1401,0,7.2,1419,2,36.6
330,대흘,2020-03-31,11.9,8,553,15.8,1325,.5,7.7,1306,1.8,33.8
330,대흘,2020-04-01,9.3,6.2,457,13.6,1229,6,12.8,1420,5,298.1
330,대흘,2020-04-02,9.9,6.2,132,14.5,1357,0,5.4,239,2.5,270
330,대흘,2020-04-03,11,8.8,1,14.4,1321,0,6.8,1613,3,317.8
330,대흘,2020-04-04,10,5.5,2341,16.7,1314,0,10.7,1549,4.8,289.7
330,대흘,2020-04-05,7.5,5.2,635,10.8,1438,0,9.1,1449,4.4,303.8
330,대흘,2020-04-06,8.8,3.6,458,12.8,1358,0,6.5,1303,2.9,337.5
330,대흘,2020-04-07,11.6,7.7,441,16.2,1214,0,8.6,1545,3.9,306.6
330,대흘,2020-04-08,10.9,7.7,2234,15.1,1251,0,6.9,1558,3.4,312.2
330,대흘,2020-04-09,9.8,6.4,507,14.1,1205,0,7.1,1531,2.9,286.9
330,대흘,2020-04-10,11,6.3,605,14.6,1210,0,5.9,1438,2.2,334.7
330,대흘,2020-04-11,10.8,8,2306,15.2,1007,27,6.8,1251,2.4,135
330,대흘,2020-04-12,7.6,5.8,1854,8.7,2240,31,7.2,1806,3.1,70.3
330,대흘,2020-04-13,9.2,7.1,328,11.7,1511,0,12.6,1039,4.7,329.1
330,대흘,2020-04-14,11.2,6.9,441,15.5,1403,0,5.5,1028,2.6,323.4
330,대흘,2020-04-15,11.4,6,443,16,1509,0,5.3,1603,1.9,345.9
330,대흘,2020-04-16,13.8,7.1,343,18.9,1228,0,9.7,1718,3.3,146.3
330,대흘,2020-04-17,14.7,12.1,2255,18.5,1602,9.5,15.9,930,3.9,199.7
330,대흘,2020-04-18,10.8,7.3,2332,13.9,1254,0,9.1,359,4.1,315
330,대흘,2020-04-19,12.2,7.7,1,13.9,624,20,17.4,1425,4.7,137.8
330,대흘,2020-04-20,12.4,10.1,636,16.9,1512,1.5,9.1,1131,4.6,312.2
330,대흘,2020-04-21,10.8,8.2,2355,14.1,1207,0,12.7,1208,5.5,317.8
330,대흘,2020-04-22,9,5.9,452,12.3,1327,0,14.5,1543,6.8,320.6
330,대흘,2020-04-23,9.3,6.7,430,12.1,1501,0,10.8,832,6,345.9
330,대흘,2020-04-24,10.4,6.8,140,15.7,1337,0,10.3,1625,4,309.4
330,대흘,2020-04-25,18,8.2,9,22.6,1357,0,14.1,1218,5.8,250.3
330,대흘,2020-04-26,12,8.2,600,17.4,1520,0,7.5,1301,2.8,334.7
330,대흘,2020-04-27,12.3,8.5,555,16.9,1059,0,8,1706,3,309.4
330,대흘,2020-04-28,13,8.1,604,18,1428,0,7,1538,3.4,343.1
330,대흘,2020-04-29,13.7,8.2,2320,18.3,946,0,5.9,1210,2.6,343.1
330,대흘,2020-04-30,17.9,7.2,206,23.4,1209,0,6.6,1109,2.2,36.6
330,대흘,2020-05-01,19.2,13.7,539,24.7,1256,0,6,1455,2,39.4
330,대흘,2020-05-02,18.6,14.7,453,21.9,1127,3,10.4,1411,2.1,177.2
330,대흘,2020-05-03,18.5,15.3,2054,23.4,1220,6.5,9.7,118,2.3,180
330,대흘,2020-05-04,17.5,14.2,2348,22.5,1242,0,8.1,1626,2.6,270
330,대흘,2020-05-05,17.3,12,335,25,1352,0,10.4,1042,2.6,143.4
330,대흘,2020-05-06,17.8,14.6,2345,22.8,1219,0,10.1,1417,2.9,81.6
330,대흘,2020-05-07,15.8,13.1,518,20.3,1240,0,11.1,1250,4.6,92.8
330,대흘,2020-05-08,18.9,14,156,22.7,1351,.5,16.7,2158,6.2,196.9
330,대흘,2020-05-09,19.5,13.9,2338,27.7,1035,6,17.8,403,6.1,182.8
330,대흘,2020-05-10,14.7,13.6,432,17.4,1422,0,9.7,950,4.5,315
330,대흘,2020-05-11,17.5,13.2,341,23.1,1315,0,7.5,1341,3,312.2
330,대흘,2020-05-12,17.2,12.8,2341,24.2,1238,0,12.7,1510,5.1,315
330,대흘,2020-05-13,15.4,11.6,431,19.6,1210,0,6.9,1400,2.7,343.1
330,대흘,2020-05-14,20.2,12.3,207,25.1,1110,0,14,2327,3.3,154.7
330,대흘,2020-05-15,21.4,18.5,2311,26.3,1511,6.5,11.4,622,4.1,146.3
330,대흘,2020-05-16,15.7,12,2352,19.5,1704,2,5.3,1652,1,312.2
330,대흘,2020-05-17,17.2,11,125,26.1,1505,0,6,1553,1.3,191.3
330,대흘,2020-05-18,18.5,14.3,2317,25.9,1701,.5,13.5,1415,3.3,151.9
330,대흘,2020-05-19,15.1,12.4,440,19.6,950,0,17.9,1145,6.3,278.4
330,대흘,2020-05-20,14.5,11,536,19.9,1523,0,7.3,1155,3.4,337.5
330,대흘,2020-05-21,16.5,10.8,358,21.7,1231,0,8.9,1818,3.5,154.7
330,대흘,2020-05-22,17.2,14.6,255,21.2,1337,0,10.1,2332,4.6,171.6
330,대흘,2020-05-23,19.3,15.2,114,23.9,1425,0,8.5,1,3.5,154.7
330,대흘,2020-05-24,20.3,16.2,210,26.7,1055,0,6.7,1114,1.8,334.7
330,대흘,2020-05-25,17.1,14.8,2233,21.3,1259,0,5.4,1313,1.6,306.6
330,대흘,2020-05-26,17.3,15,206,21.2,1531,0,6.2,1841,2.4,312.2
330,대흘,2020-05-27,17.1,14.4,516,21.5,1239,0,7.3,430,3.2,317.8
330,대흘,2020-05-28,18.2,14.1,122,24,1139,0,9.8,1023,3.4,303.8
330,대흘,2020-05-29,18.6,12.6,530,24.5,1117,0,5,124,2,284.1
330,대흘,2020-05-30,19.2,16.7,307,21.4,1140,1,7.6,1336,2.5,135
330,대흘,2020-05-31,18.4,16.4,646,21.1,1548,8.5,8.6,1434,3.1,143.4
330,대흘,2020-06-01,18,14.5,2340,22.6,1028,.5,6.7,1532,2.2,298.1
330,대흘,2020-06-02,19.3,12.8,334,26.4,1128,0,5.5,1237,1.8,337.5
330,대흘,2020-06-03,20.4,16,244,25.1,1243,0,6.7,1021,.9,180
330,대흘,2020-06-04,21.3,17.7,2339,26.3,1049,0,4.4,1114,.7,30.9
330,대흘,2020-06-05,21,15.7,559,26.4,1555,0,5,1205,.7,351.6
330,대흘,2020-06-06,21.2,18.1,2337,26.8,1528,0,8,1114,2.2,137.8
330,대흘,2020-06-07,22.3,16.8,515,28,1443,0,6.5,1446,2.5,59.1
330,대흘,2020-06-08,24.4,19.1,55,29.5,1550,0,9.8,1758,4.1,163.1
330,대흘,2020-06-09,24.4,20.9,111,28.1,1219,0,14.2,1042,5.2,151.9
330,대흘,2020-06-10,23.9,22.3,529,27.2,1002,.5,9.8,40,3.3,143.4
330,대흘,2020-06-11,23.3,20.5,2335,28.9,1256,0,8.2,916,2.3,275.6
330,대흘,2020-06-12,22.9,19.9,535,26.9,1500,0,4.8,1452,.9,50.6
330,대흘,2020-06-13,24.8,22.3,46,29,1500,26,8.8,426,1.1,247.5
330,대흘,2020-06-14,23.3,19.9,2157,27,634,21.5,9.8,1151,3.4,272.8
330,대흘,2020-06-15,21.5,19.3,2321,26.7,1222,0,5.7,103,1.9,250.3
330,대흘,2020-06-16,22.3,19.3,154,28,1301,0,5.7,757,2.1,295.3
330,대흘,2020-06-17,19.7,16.5,1849,23.6,853,26,8.9,1945,1.7,168.8
330,대흘,2020-06-18,18.2,17.2,649,20.1,1327,49.5,8.8,108,3.7,132.2
330,대흘,2020-06-19,19.1,16.9,2253,23.8,1541,18,5.8,847,1.6,8.4
330,대흘,2020-06-20,20.9,17.3,342,25.5,1308,0,6.9,1252,2.3,118.1
330,대흘,2020-06-21,20.6,18.5,341,24.7,1259,0,7.5,1130,3.1,90
330,대흘,2020-06-22,22.6,18.7,311,27.4,1556,0,7.8,1203,2.5,70.3
330,대흘,2020-06-23,24.1,19.8,430,28.3,1301,0,12.9,1924,4.8,157.5
330,대흘,2020-06-24,23.8,23,2344,25.2,1710,31.5,14.6,57,4.7,199.7
330,대흘,2020-06-25,21.7,19.6,2336,23.7,1048,13.5,6.3,1447,1.1,317.8
330,대흘,2020-06-26,22,19,511,25.7,1755,0,6.1,1729,1.6,143.4
330,대흘,2020-06-27,23.5,18.7,528,29.3,1100,0,6.1,1552,1.5,123.8
330,대흘,2020-06-28,22.9,19.6,2358,27.8,1245,0,5.1,940,1.6,261.6
330,대흘,2020-06-29,22.5,18.3,45,26.3,2158,43,17.9,2218,3.4,213.8
330,대흘,2020-06-30,20.1,18.4,2319,22.5,1259,0,16.3,225,7.1,300.9
330,대흘,2020-07-01,20.9,18.3,2307,25.7,1351,0,9.2,24,3.3,295.3
330,대흘,2020-07-02,21.8,17,449,26,1155,0,5.1,1505,1.8,59.1
330,대흘,2020-07-03,20.3,18.8,2054,21.9,245,29,11.7,1445,3.5,151.9
330,대흘,2020-07-04,19.3,18.4,806,21.1,1335,2,6.7,118,2,95.6
330,대흘,2020-07-05,20.8,18.5,523,25.6,1406,0,6.4,1421,.6,132.2
330,대흘,2020-07-06,22.1,20.4,246,25.4,1713,17.5,6.7,704,.8,163.1
330,대흘,2020-07-07,21.9,20.3,2051,26.8,1022,49,6,1542,1.3,194.1
330,대흘,2020-07-08,21.6,19.3,548,25.5,1543,0,5.5,156,1.4,261.6
330,대흘,2020-07-09,23,19.6,10,26.3,1706,5.5,8.6,1758,2,177.2
330,대흘,2020-07-10,24.5,21.8,2150,28.2,1219,30,9.9,112,2.6,151.9
330,대흘,2020-07-11,22.4,20.6,410,26.3,1303,0,5.8,619,1.2,320.6
330,대흘,2020-07-12,23.5,21.9,651,26.5,2024,2.5,8.1,828,3,126.6
330,대흘,2020-07-13,24.4,21.3,2348,29.5,1250,1.5,11.8,1446,4,275.6
330,대흘,2020-07-14,19.9,18.2,2324,21.3,1,1.5,10.8,231,5.2,272.8
330,대흘,2020-07-15,19.6,17.8,2254,22.7,1409,.5,7.1,1333,3.1,320.6
330,대흘,2020-07-16,20.8,18.5,1,24.4,1507,1.5,6.3,1545,1.9,45
330,대흘,2020-07-17,21.7,17.8,24,25.7,1330,0,6.9,2057,1.9,146.3
330,대흘,2020-07-18,22.8,19,149,24.1,1731,.5,12.3,1924,3.1,182.8
330,대흘,2020-07-19,27.8,23.7,1,31.9,1354,1,12,2047,2.6,171.6
330,대흘,2020-07-20,25.2,21.8,2358,30.3,822,0,11.2,151,1.9,216.6
330,대흘,2020-07-21,24.4,21.5,448,27.6,1718,3,6,1557,.8,177.2
330,대흘,2020-07-22,25.1,23.1,1356,29,1046,0,9.6,1259,.9,340.3
330,대흘,2020-07-23,25.2,22.4,2336,28.5,1424,25,15.2,2320,4,239.1
330,대흘,2020-07-24,21.6,19.7,1930,23.9,1056,3.5,14.7,1017,6.5,281.3
330,대흘,2020-07-25,21.8,19.6,2335,25.1,1414,2,9.2,1359,4.2,278.4
330,대흘,2020-07-26,22.3,18,456,26.3,1436,0,5.7,1509,1.3,47.8
330,대흘,2020-07-27,23.7,21.5,18,25.4,2338,75,8.7,1327,1.5,129.4
330,대흘,2020-07-28,26.6,24.3,18,31,1027,5,5.8,1315,1.3,56.3
330,대흘,2020-07-29,26.4,23.8,552,29.6,1001,8.5,5,1435,1.1,64.7
330,대흘,2020-07-30,26.7,24,514,30.3,1128,2.5,6,1236,1,50.6
330,대흘,2020-07-31,26.3,23.1,342,31.6,1208,0,6.4,1410,1.3,275.6
330,대흘,2020-08-01,27.3,22.9,537,31.4,1422,0,5.2,1400,1.1,42.2
330,대흘,2020-08-02,27.4,23.9,328,31.5,1358,0,6.2,1342,1.5,16.9
330,대흘,2020-08-03,27.8,23.7,359,31.2,1535,0,5.4,2231,1.4,140.6
330,대흘,2020-08-04,28.7,24.5,235,31.8,1214,0,11.7,1812,3.6,160.3
330,대흘,2020-08-05,27.7,25.6,1031,29.2,1529,23,13.3,2300,5.4,222.2
330,대흘,2020-08-06,27.8,25.6,0,30.5,1421,4,11.7,128,2.3,199.7
330,대흘,2020-08-07,27.7,25.3,506,30.2,1604,0,10.2,1322,2,191.3
330,대흘,2020-08-08,29.2,25.9,343,31.4,1454,0,10.1,2006,2.1,216.6
330,대흘,2020-08-09,29.2,26.3,2304,33.1,1229,1,12.7,305,4.6,202.5
330,대흘,2020-08-10,27,24,1031,30.1,1720,33,11.8,9,2.2,182.8
330,대흘,2020-08-11,27.3,24.6,203,32.6,1558,21,6.7,333,1.1,154.7
330,대흘,2020-08-12,28.6,25.5,212,32.6,1214,0,10.1,1113,1.5,33.8
330,대흘,2020-08-13,28.3,24.7,530,33.2,1242,0,6.5,1417,1.6,59.1
330,대흘,2020-08-14,29.5,24.5,337,34.8,1324,0,7.6,1341,1.9,331.9
330,대흘,2020-08-15,28.5,24.4,434,32.8,1359,0,6.3,1116,1.6,50.6
330,대흘,2020-08-16,27.4,24,605,32.5,1321,0,5.5,1440,1.2,354.4
330,대흘,2020-08-17,27,23.3,537,31,1119,0,4.5,1151,1,56.3
330,대흘,2020-08-18,27,24,414,30.8,1258,0,4.9,1211,1.2,39.4
330,대흘,2020-08-19,26.9,23.6,406,31.4,1515,0,4.9,1244,1.6,323.4
330,대흘,2020-08-20,26.3,23,517,29.8,1419,0,5.5,1054,1.7,337.5
330,대흘,2020-08-21,26.6,21.7,453,30.4,1057,0,6.8,1434,2,36.6
330,대흘,2020-08-22,26.5,24.3,429,30.8,1202,1,7,1227,1.7,75.9
330,대흘,2020-08-23,27.7,24.4,302,31.6,1505,0,6.3,1236,1.7,137.8
330,대흘,2020-08-24,28.4,25.3,248,33.2,1210,0,8.4,849,2.5,177.2
330,대흘,2020-08-25,27.8,25.7,2000,30.9,1401,15.5,13.4,2349,4.6,137.8
330,대흘,2020-08-26,26.5,24.8,37,27.9,403,154,21.9,1440,9.3,137.8
330,대흘,2020-08-27,27.8,26.3,530,31.5,1422,2,11.2,45,3.8,216.6
330,대흘,2020-08-28,27.2,24.5,624,31.4,1042,9.5,9.1,2040,2.8,137.8
330,대흘,2020-08-29,27.4,25.2,2246,30.8,1419,5,7.7,132,2.3,191.3
330,대흘,2020-08-30,26.9,23.5,550,31.8,1042,0,5.2,1515,1,22.5
330,대흘,2020-08-31,26,23.6,137,29,1413,.5,8.6,1931,3.1,95.6
330,대흘,2020-09-01,25.4,,,,,2,,,,
330,대흘,2020-09-02,24.4,22.4,2240,26.5,1,232,24.5,2103,10,104.1
330,대흘,2020-09-03,23.2,19.6,2330,27.1,1241,1.5,19.8,37,6,104.1
330,대흘,2020-09-04,23.7,18.8,456,29.4,1425,0,6.2,59,2.3,
330,대흘,2020-09-05,19.9,18,1715,22.3,747,14.5,8.5,2303,2.4,104.1
330,대흘,2020-09-06,20.5,19.4,37,21.5,1719,112.5,11,2318,2.6,315
330,대흘,2020-09-07,21.5,19.7,611,24.7,1448,114,16.1,346,7.3,309.4
330,대흘,2020-09-08,24,17.4,610,29.6,1224,0,6.9,1026,1.9,2.8
330,대흘,2020-09-09,23.4,19.7,508,27.2,1130,0,6.3,30,1.7,261.6
330,대흘,2020-09-10,22.7,19.8,2358,27,1154,0,6,120,1,275.6
330,대흘,2020-09-11,21.9,19.4,256,24.5,1202,2,7.8,2241,1.9,191.3
330,대흘,2020-09-12,21.4,19.7,325,25.3,1408,.5,6.4,1,.7,239.1
330,대흘,2020-09-13,21.4,19.6,634,24.1,1235,5,7.7,1202,1.5,123.8
330,대흘,2020-09-14,22,19.9,2252,25.5,1413,0,5.5,1033,1.4,64.7
330,대흘,2020-09-15,22.3,18.8,533,25.6,1140,0,5.7,2119,2,182.8
330,대흘,2020-09-16,22.6,19.9,340,26.8,1300,6.5,7.2,1135,1.5,194.1
330,대흘,2020-09-17,19.7,17.8,2138,22,1,36.5,4.5,415,1.3,255.9
330,대흘,2020-09-18,18.6,16,550,21.8,1216,9.5,8.1,544,2.3,14.1
330,대흘,2020-09-19,19.7,15.5,436,24.2,1234,0,4.6,2323,2.2,222.2
330,대흘,2020-09-20,20.4,16.6,626,24.7,1246,0,4.8,1343,2.2,5.6
330,대흘,2020-09-21,19.4,15.4,558,23.6,1349,0,6.1,1523,2.1,53.4
330,대흘,2020-09-22,19.6,18.2,1,21.4,1316,0,9,1138,3.3,64.7
330,대흘,2020-09-23,19.4,18.5,314,20.1,1327,2,7.9,2121,3,98.4
