Entity,Year,Annual CO₂ emissions
South Korea,1905,771
South Korea,1909,8292
South Korea,1910,10413
South Korea,1911,12342
South Korea,1912,15427
South Korea,1913,17934
South Korea,1914,25648
South Korea,1915,32012
South Korea,1916,26612
South Korea,1918,26227
South Korea,1919,31048
South Korea,1920,40304
South Korea,1921,43389
South Korea,1922,44354
South Korea,1923,53032
South Korea,1924,55731
South Korea,1925,88900
South Korea,1926,95457
South Korea,1927,98928
South Korea,1928,113970
South Korea,1929,130940.01
South Korea,1930,123419
South Korea,1931,130747.01
South Korea,1932,154081
South Korea,1933,181657
South Korea,1934,241584
South Korea,1935,284151
South Korea,1936,333496
South Korea,1937,356810
South Korea,1938,477477
South Korea,1939,623204
South Korea,1940,801645
South Korea,1941,893930
South Korea,1942,986907
South Korea,1943,956392
South Korea,1944,1010473
South Korea,1945,3634
South Korea,1946,487282
South Korea,1947,897620
South Korea,1948,1670725
South Korea,1949,2176327
South Korea,1950,2183685
South Korea,1951,2923842
South Korea,1952,3462331
South Korea,1953,4693406
South Korea,1954,5158674
South Korea,1955,6444738
South Korea,1956,7554990
South Korea,1957,8214302
South Korea,1958,9008587
South Korea,1959,11221376
South Korea,1960,12540118
South Korea,1961,14448706
South Korea,1962,17261588
South Korea,1963,21083172
South Korea,1964,22195154
South Korea,1965,24978308
South Korea,1966,29982234
South Korea,1967,35113236
South Korea,1968,37197144
South Korea,1969,42468220
South Korea,1970,53716350
South Korea,1971,58533736
South Korea,1972,60247064
South Korea,1973,72974630
South Korea,1974,75550510
South Korea,1975,81665790
South Korea,1976,93104550
South Korea,1977,105459704
South Korea,1978,113119300
South Korea,1979,132874240
South Korea,1980,134524430
South Korea,1981,139589740
South Korea,1982,140781900
South Korea,1983,149133600
South Korea,1984,160700450
South Korea,1985,168757680
South Korea,1986,176297250
South Korea,1987,185358380
South Korea,1988,210953460
South Korea,1989,223510380
South Korea,1990,250510830
South Korea,1991,275688220
South Korea,1992,299905440
South Korea,1993,330173950
South Korea,1994,355694820
South Korea,1995,383665470
South Korea,1996,420996060
South Korea,1997,444967600
South Korea,1998,378037800
South Korea,1999,410518800
South Korea,2000,439980670
South Korea,2001,455630660
South Korea,2002,476064900
South Korea,2003,485212800
South Korea,2004,491389440
South Korea,2005,498688300
South Korea,2006,503478180
South Korea,2007,521708740
South Korea,2008,532650750
South Korea,2009,537819840
South Korea,2010,594339140
South Korea,2011,623442800
South Korea,2012,627943040
South Korea,2013,634580700
South Korea,2014,629366460
South Korea,2015,634177300
South Korea,2016,637914050
South Korea,2017,654537300
South Korea,2018,670168700
South Korea,2019,646102200
South Korea,2020,597634300
South Korea,2021,616075000
South Korea,2022,602092400
South Korea,2023,577416640
World,1750,9305937
World,1751,9407229
World,1752,9505168
World,1753,9610490
World,1754,9733580
World,1755,9793468
World,1756,9909914
World,1757,10093936
World,1758,10216358
World,1759,10338854
World,1760,10514331
World,1761,10747885
World,1762,10952198
World,1763,11191592
World,1764,11396982
World,1765,11643486
World,1766,11876080
World,1767,12152509
World,1768,12466936
World,1769,12780074
