Entity,Year,Annual nitrous oxide emissions in CO₂ equivalents
South Korea,1850,161369.48
South Korea,1851,164177.05
South Korea,1852,166925.5
South Korea,1853,169578.27
South Korea,1854,172098.75
South Korea,1855,174450.39
South Korea,1856,176596.64
South Korea,1857,178500.88
South Korea,1858,180126.53
South Korea,1859,181437.03
South Korea,1860,182395.83
South Korea,1861,183133.56
South Korea,1862,183814.9
South Korea,1863,184454.38
South Korea,1864,185066.48
South Korea,1865,185665.72
South Korea,1866,186266.6
South Korea,1867,186883.6
South Korea,1868,187531.2
South Korea,1869,188223.92
South Korea,1870,188976.27
South Korea,1871,191621.2
South Korea,1872,197484.98
South Korea,1873,205822.05
South Korea,1874,215886.86
South Korea,1875,226933.86
South Korea,1876,238217.47
South Korea,1877,248992.16
South Korea,1878,258512.36
South Korea,1879,266032.53
South Korea,1880,270807.06
South Korea,1881,273737.7
South Korea,1882,276275.72
South Korea,1883,278500.03
South Korea,1884,280489.7
South Korea,1885,282323.53
South Korea,1886,284080.53
South Korea,1887,285839.6
South Korea,1888,287679.78
South Korea,1889,289679.9
South Korea,1890,305725.8
South Korea,1891,308557
South Korea,1892,311969.62
South Korea,1893,315919.47
South Korea,1894,320362.34
South Korea,1895,325254.06
South Korea,1896,330550.4
South Korea,1897,336207.16
South Korea,1898,342180.03
South Korea,1899,348424.97
South Korea,1900,354897.62
South Korea,1901,361900.47
South Korea,1902,369741.72
South Korea,1903,378385.94
South Korea,1904,387797.62
South Korea,1905,397941.28
South Korea,1906,408781.47
South Korea,1907,420282.7
South Korea,1908,432409.5
South Korea,1909,445126.38
South Korea,1910,458397.84
South Korea,1911,473888.94
South Korea,1912,492817.3
South Korea,1913,514476.5
South Korea,1914,538160.06
South Korea,1915,563161.56
South Korea,1916,588774.56
South Korea,1917,614292.6
South Korea,1918,639009.3
South Korea,1919,662218.1
South Korea,1920,683212.6
South Korea,1921,703043.1
South Korea,1922,723082.44
South Korea,1923,743107.75
South Korea,1924,762896.4
South Korea,1925,782225.56
South Korea,1926,800872.56
South Korea,1927,818614.5
South Korea,1928,835228.9
South Korea,1929,850492.75
South Korea,1930,864183.5
South Korea,1931,877210.44
South Korea,1932,890439.94
South Korea,1933,903584.7
South Korea,1934,916357.4
South Korea,1935,928470.8
South Korea,1936,939637.44
South Korea,1937,949570.1
South Korea,1938,957981.5
South Korea,1939,964584.4
South Korea,1940,969091.25
South Korea,1941,1003966.94
South Korea,1942,1092964.5
South Korea,1943,1222729.2
South Korea,1944,1379906.2
South Korea,1945,1551140.9
South Korea,1946,1723078.1
South Korea,1947,1882363.6
South Korea,1948,2015642.2
South Korea,1949,2109559.2
South Korea,1950,2150760.2
South Korea,1951,2164321.5
South Korea,1952,2183599
South Korea,1953,2207654.8
South Korea,1954,2235552.5
South Korea,1955,2266355.2
South Korea,1956,2299126
South Korea,1957,2332927.5
South Korea,1958,2366823
South Korea,1959,2399875.2
South Korea,1960,2431147.8
South Korea,1961,2959191.2
South Korea,1962,2961092.5
South Korea,1963,3034499.5
South Korea,1964,2943838
South Korea,1965,3144690
South Korea,1966,3419199.5
South Korea,1967,3659530.8
South Korea,1968,3692626.8
South Korea,1969,3990366.8
South Korea,1970,4317037.5
South Korea,1971,4271147.5
South Korea,1972,4510892.5
South Korea,1973,4931462.5
South Korea,1974,5393039.5
South Korea,1975,5699855
South Korea,1976,5054893.5
South Korea,1977,5356438.5
South Korea,1978,6119419
South Korea,1979,6194784
South Korea,1980,5987160.5
South Korea,1981,6228269
South Korea,1982,5713778
South Korea,1983,6539648.5
South Korea,1984,7087680.5
South Korea,1985,7423976
South Korea,1986,7637729.5
